,value
1203,size_of_red_wine_glass_drunk_f20096_2_1
1204,size_of_red_wine_glass_drunk_f20096_3_0
1205,size_of_red_wine_glass_drunk_f20096_3_1
1206,size_of_red_wine_glass_drunk_f20096_4_0
1207,size_of_red_wine_glass_drunk_f20096_4_1
1208,size_of_rose_wine_glass_drunk_f20097_0_0
1209,size_of_rose_wine_glass_drunk_f20097_0_1
1210,size_of_rose_wine_glass_drunk_f20097_1_0
1211,size_of_rose_wine_glass_drunk_f20097_1_1
1212,size_of_rose_wine_glass_drunk_f20097_2_0
1213,size_of_rose_wine_glass_drunk_f20097_2_1
1214,size_of_rose_wine_glass_drunk_f20097_3_0
1215,size_of_rose_wine_glass_drunk_f20097_3_1
1216,size_of_rose_wine_glass_drunk_f20097_4_0
1217,size_of_rose_wine_glass_drunk_f20097_4_1
1218,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_0_0
1219,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_0_1
1220,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_0_2
1221,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_1_0
1222,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_1_1
1223,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_1_2
1224,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_2_0
1225,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_2_1
1226,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_2_2
1227,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_3_0
1228,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_3_1
1229,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_3_2
1230,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_4_0
1231,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_4_1
1232,thickness_of_buttermargarine_spread_on_sliced_bread_f20098_4_2
1233,thickness_of_buttermargarine_spread_on_baguettes_f20099_0_0
1234,thickness_of_buttermargarine_spread_on_baguettes_f20099_0_1
1235,thickness_of_buttermargarine_spread_on_baguettes_f20099_1_0
1236,thickness_of_buttermargarine_spread_on_baguettes_f20099_1_1
1237,thickness_of_buttermargarine_spread_on_baguettes_f20099_2_0
1238,thickness_of_buttermargarine_spread_on_baguettes_f20099_2_1
1239,thickness_of_buttermargarine_spread_on_baguettes_f20099_3_0
1240,thickness_of_buttermargarine_spread_on_baguettes_f20099_3_1
1241,thickness_of_buttermargarine_spread_on_baguettes_f20099_4_0
1242,thickness_of_buttermargarine_spread_on_baguettes_f20099_4_1
1243,thickness_of_buttermargarine_spread_on_large_baps_f20100_0_0
1244,thickness_of_buttermargarine_spread_on_large_baps_f20100_0_1
1245,thickness_of_buttermargarine_spread_on_large_baps_f20100_1_0
1246,thickness_of_buttermargarine_spread_on_large_baps_f20100_1_1
1247,thickness_of_buttermargarine_spread_on_large_baps_f20100_2_0
1248,thickness_of_buttermargarine_spread_on_large_baps_f20100_2_1
1249,thickness_of_buttermargarine_spread_on_large_baps_f20100_3_0
1250,thickness_of_buttermargarine_spread_on_large_baps_f20100_3_1
1251,thickness_of_buttermargarine_spread_on_large_baps_f20100_4_0
1252,thickness_of_buttermargarine_spread_on_large_baps_f20100_4_1
1253,thickness_of_buttermargarine_spread_on_bread_rolls_f20101_0_0
1254,thickness_of_buttermargarine_spread_on_bread_rolls_f20101_0_1
1255,thickness_of_buttermargarine_spread_on_bread_rolls_f20101_1_0
1256,thickness_of_buttermargarine_spread_on_bread_rolls_f20101_1_1
1257,thickness_of_buttermargarine_spread_on_bread_rolls_f20101_2_0
1258,thickness_of_buttermargarine_spread_on_bread_rolls_f20101_2_1
1259,thickness_of_buttermargarine_spread_on_bread_rolls_f20101_3_0
1260,thickness_of_buttermargarine_spread_on_bread_rolls_f20101_3_1
1261,thickness_of_buttermargarine_spread_on_bread_rolls_f20101_4_0
1262,thickness_of_buttermargarine_spread_on_bread_rolls_f20101_4_1
1263,thickness_of_buttermargarine_spread_on_crackerscrispbreads_f20102_0_0
1264,thickness_of_buttermargarine_spread_on_crackerscrispbreads_f20102_0_1
1265,thickness_of_buttermargarine_spread_on_crackerscrispbreads_f20102_1_0
1266,thickness_of_buttermargarine_spread_on_crackerscrispbreads_f20102_1_1
1267,thickness_of_buttermargarine_spread_on_crackerscrispbreads_f20102_2_0
1268,thickness_of_buttermargarine_spread_on_crackerscrispbreads_f20102_2_1
1269,thickness_of_buttermargarine_spread_on_crackerscrispbreads_f20102_3_0
1270,thickness_of_buttermargarine_spread_on_crackerscrispbreads_f20102_3_1
1271,thickness_of_buttermargarine_spread_on_crackerscrispbreads_f20102_4_0
1272,thickness_of_buttermargarine_spread_on_crackerscrispbreads_f20102_4_1
1273,thickness_of_buttermargarine_spread_on_oatcakes_f20103_0_0
1274,thickness_of_buttermargarine_spread_on_oatcakes_f20103_0_1
1275,thickness_of_buttermargarine_spread_on_oatcakes_f20103_1_0
1276,thickness_of_buttermargarine_spread_on_oatcakes_f20103_1_1
1277,thickness_of_buttermargarine_spread_on_oatcakes_f20103_2_0
1278,thickness_of_buttermargarine_spread_on_oatcakes_f20103_2_1
1279,thickness_of_buttermargarine_spread_on_oatcakes_f20103_3_0
1280,thickness_of_buttermargarine_spread_on_oatcakes_f20103_3_1
1281,thickness_of_buttermargarine_spread_on_oatcakes_f20103_4_0
1282,thickness_of_buttermargarine_spread_on_oatcakes_f20103_4_1
1283,thickness_of_buttermargarine_spread_on_other_bread_f20104_0_0
1284,thickness_of_buttermargarine_spread_on_other_bread_f20104_0_1
1285,thickness_of_buttermargarine_spread_on_other_bread_f20104_1_0
1286,thickness_of_buttermargarine_spread_on_other_bread_f20104_1_1
1287,thickness_of_buttermargarine_spread_on_other_bread_f20104_2_0
1288,thickness_of_buttermargarine_spread_on_other_bread_f20104_2_1
1289,thickness_of_buttermargarine_spread_on_other_bread_f20104_3_0
1290,thickness_of_buttermargarine_spread_on_other_bread_f20104_3_1
1291,thickness_of_buttermargarine_spread_on_other_bread_f20104_4_0
1292,thickness_of_buttermargarine_spread_on_other_bread_f20104_4_1
1293,liquid_used_to_make_porridge_f20105_0_0
1294,liquid_used_to_make_porridge_f20105_0_1
1295,liquid_used_to_make_porridge_f20105_1_0
1296,liquid_used_to_make_porridge_f20105_1_1
1297,liquid_used_to_make_porridge_f20105_2_0
1298,liquid_used_to_make_porridge_f20105_2_1
1299,liquid_used_to_make_porridge_f20105_3_0
1300,liquid_used_to_make_porridge_f20105_3_1
1301,liquid_used_to_make_porridge_f20105_4_0
1302,liquid_used_to_make_porridge_f20105_4_1
1303,type_of_yogurt_eaten_f20106_0_0
1304,type_of_yogurt_eaten_f20106_0_1
1305,type_of_yogurt_eaten_f20106_1_0
1306,type_of_yogurt_eaten_f20106_1_1
1307,type_of_yogurt_eaten_f20106_2_0
1308,type_of_yogurt_eaten_f20106_2_1
1309,type_of_yogurt_eaten_f20106_3_0
1310,type_of_yogurt_eaten_f20106_3_1
1311,type_of_yogurt_eaten_f20106_4_0
1312,type_of_yogurt_eaten_f20106_4_1
1313,ingredients_in_canned_soup_f20108_0_0
1314,ingredients_in_canned_soup_f20108_0_1
1315,ingredients_in_canned_soup_f20108_0_2
1316,ingredients_in_canned_soup_f20108_0_3
1317,ingredients_in_canned_soup_f20108_0_4
1318,ingredients_in_canned_soup_f20108_1_0
1319,ingredients_in_canned_soup_f20108_1_1
1320,ingredients_in_canned_soup_f20108_1_2
1321,ingredients_in_canned_soup_f20108_1_3
1322,ingredients_in_canned_soup_f20108_1_4
1323,ingredients_in_canned_soup_f20108_2_0
1324,ingredients_in_canned_soup_f20108_2_1
1325,ingredients_in_canned_soup_f20108_2_2
1326,ingredients_in_canned_soup_f20108_2_3
1327,ingredients_in_canned_soup_f20108_2_4
1328,ingredients_in_canned_soup_f20108_3_0
1329,ingredients_in_canned_soup_f20108_3_1
1330,ingredients_in_canned_soup_f20108_3_2
1331,ingredients_in_canned_soup_f20108_3_3
1332,ingredients_in_canned_soup_f20108_3_4
1333,ingredients_in_canned_soup_f20108_4_0
1334,ingredients_in_canned_soup_f20108_4_1
1335,ingredients_in_canned_soup_f20108_4_2
1336,ingredients_in_canned_soup_f20108_4_3
1337,ingredients_in_canned_soup_f20108_4_4
1338,ingredients_in_homemade_soup_f20109_0_0
1339,ingredients_in_homemade_soup_f20109_0_1
1340,ingredients_in_homemade_soup_f20109_0_2
1341,ingredients_in_homemade_soup_f20109_0_3
1342,ingredients_in_homemade_soup_f20109_0_4
1343,ingredients_in_homemade_soup_f20109_0_5
1344,ingredients_in_homemade_soup_f20109_1_0
1345,ingredients_in_homemade_soup_f20109_1_1
1346,ingredients_in_homemade_soup_f20109_1_2
1347,ingredients_in_homemade_soup_f20109_1_3
1348,ingredients_in_homemade_soup_f20109_1_4
1349,ingredients_in_homemade_soup_f20109_1_5
1350,ingredients_in_homemade_soup_f20109_2_0
1351,ingredients_in_homemade_soup_f20109_2_1
1352,ingredients_in_homemade_soup_f20109_2_2
1353,ingredients_in_homemade_soup_f20109_2_3
1354,ingredients_in_homemade_soup_f20109_2_4
1355,ingredients_in_homemade_soup_f20109_2_5
1356,ingredients_in_homemade_soup_f20109_3_0
1357,ingredients_in_homemade_soup_f20109_3_1
1358,ingredients_in_homemade_soup_f20109_3_2
1359,ingredients_in_homemade_soup_f20109_3_3
1360,ingredients_in_homemade_soup_f20109_3_4
1361,ingredients_in_homemade_soup_f20109_3_5
1362,ingredients_in_homemade_soup_f20109_4_0
1363,ingredients_in_homemade_soup_f20109_4_1
1364,ingredients_in_homemade_soup_f20109_4_2
1365,ingredients_in_homemade_soup_f20109_4_3
1366,ingredients_in_homemade_soup_f20109_4_4
1367,ingredients_in_homemade_soup_f20109_4_5
1368,alcohol_drinker_status_f20117_0_0
1369,alcohol_drinker_status_f20117_1_0
1370,alcohol_drinker_status_f20117_2_0
1371,bipolar_disorder_status_f20122_0_0
1372,single_episode_of_probable_major_depression_f20123_0_0
1373,probable_recurrent_major_depression_moderate_f20124_0_0
1374,probable_recurrent_major_depression_severe_f20125_0_0
1375,bipolar_and_major_depression_status_f20126_0_0
1376,neuroticism_score_f20127_0_0
1377,date_of_completing_mental_health_questionnaire_f20400_0_0
1378,ever_addicted_to_any_substance_or_behaviour_f20401_0_0
1379,amount_of_alcohol_drunk_on_a_typical_drinking_day_f20403_0_0
1380,ever_physically_dependent_on_alcohol_f20404_0_0
1381,ever_had_known_person_concerned_about_or_recommend_reduction_of_alcohol_consumption_f20405_0_0
1382,ever_addicted_to_alcohol_f20406_0_0
1383,frequency_of_failure_to_fulfil_normal_expectations_due_to_drinking_alcohol_in_last_year_f20407_0_0
1384,frequency_of_memory_loss_due_to_drinking_alcohol_in_last_year_f20408_0_0
1385,frequency_of_feeling_guilt_or_remorse_after_drinking_alcohol_in_last_year_f20409_0_0
1386,age_when_known_person_last_commented_about_drinking_habits_f20410_0_0
1387,ever_been_injured_or_injured_someone_else_through_drinking_alcohol_f20411_0_0
1388,frequency_of_needing_morning_drink_of_alcohol_after_heavy_drinking_session_in_last_year_f20412_0_0
1389,frequency_of_inability_to_cease_drinking_in_last_year_f20413_0_0
1390,frequency_of_drinking_alcohol_f20414_0_0
1391,ongoing_addiction_to_alcohol_f20415_0_0
1392,frequency_of_consuming_six_or_more_units_of_alcohol_f20416_0_0
1393,tense_sore_or_aching_muscles_during_worst_period_of_anxiety_f20417_0_0
1394,impact_on_normal_roles_during_worst_period_of_anxiety_f20418_0_0
1395,difficulty_concentrating_during_worst_period_of_anxiety_f20419_0_0
1396,longest_period_spent_worried_or_anxious_f20420_0_0
1397,ever_felt_worried_tense_or_anxious_for_most_of_a_month_or_longer_f20421_0_0
1398,more_irritable_than_usual_during_worst_period_of_anxiety_f20422_0_0
1399,keyed_up_or_on_edge_during_worst_period_of_anxiety_f20423_0_0
1400,ever_worried_more_than_most_people_would_in_similar_situation_f20425_0_0
1401,restless_during_period_of_worst_anxiety_f20426_0_0
1402,frequent_trouble_falling_or_staying_asleep_during_worst_period_of_anxiety_f20427_0_0
1403,professional_informed_about_anxiety_f20428_0_0
1404,easily_tired_during_worst_period_of_anxiety_f20429_0_0
1405,ever_addicted_to_a_behaviour_or_miscellanous_f20431_0_0
1406,ongoing_behavioural_or_miscellanous_addiction_f20432_0_0
1407,age_at_first_episode_of_depression_f20433_0_0
1408,age_at_last_episode_of_depression_f20434_0_0
1409,difficulty_concentrating_during_worst_depression_f20435_0_0
1410,fraction_of_day_affected_during_worst_episode_of_depression_f20436_0_0
1411,thoughts_of_death_during_worst_depression_f20437_0_0
1412,duration_of_worst_depression_f20438_0_0
1413,frequency_of_depressed_days_during_worst_episode_of_depression_f20439_0_0
1414,impact_on_normal_roles_during_worst_period_of_depression_f20440_0_0
1415,ever_had_prolonged_loss_of_interest_in_normal_activities_f20441_0_0
1416,lifetime_number_of_depressed_periods_f20442_0_0
1417,depression_possibly_related_to_childbirth_f20445_0_0
1418,ever_had_prolonged_feelings_of_sadness_or_depression_f20446_0_0
1419,depression_possibly_related_to_stressful_or_traumatic_event_f20447_0_0
1420,professional_informed_about_depression_f20448_0_0
1421,feelings_of_tiredness_during_worst_episode_of_depression_f20449_0_0
1422,feelings_of_worthlessness_during_worst_period_of_depression_f20450_0_0
1423,ever_taken_cannabis_f20453_0_0
1424,maximum_frequency_of_taking_cannabis_f20454_0_0
1425,age_when_last_took_cannabis_f20455_0_0
1426,ever_addicted_to_illicit_or_recreational_drugs_f20456_0_0
1427,ongoing_addiction_or_dependence_on_illicit_or_recreational_drugs_f20457_0_0
1428,general_happiness_f20458_0_0
1429,general_happiness_with_own_health_f20459_0_0
1430,belief_that_own_life_is_meaningful_f20460_0_0
1431,age_when_first_had_unusual_or_psychotic_experience_f20461_0_0
1432,distress_caused_by_unusual_or_psychotic_experiences_f20462_0_0
1433,ever_heard_an_unreal_voice_f20463_0_0
1434,number_of_times_heard_an_unreal_voice_f20465_0_0
1435,ever_prescribed_a_medication_for_unusual_or_psychotic_experiences_f20466_0_0
1436,frequency_of_unusual_or_psychotic_experiences_in_past_year_f20467_0_0
1437,ever_believed_in_an_unreal_conspiracy_against_self_f20468_0_0
1438,number_of_times_believed_in_an_unreal_conspiracy_against_self_f20470_0_0
1439,ever_seen_an_unreal_vision_f20471_0_0
1440,number_of_times_seen_an_unreal_vision_f20473_0_0
1441,ever_believed_in_unreal_communications_or_signs_f20474_0_0
1442,number_of_times_believed_in_unreal_communications_or_signs_f20476_0_0
1443,ever_talked_to_a_health_professional_about_unusual_or_psychotic_experiences_f20477_0_0
1444,ever_thought_that_life_not_worth_living_f20479_0_0
1445,ever_selfharmed_f20480_0_0
1446,selfharmed_in_past_year_f20481_0_0
1447,number_of_times_selfharmed_f20482_0_0
1448,ever_attempted_suicide_f20483_0_0
1449,attempted_suicide_in_past_year_f20484_0_0
1450,ever_contemplated_selfharm_f20485_0_0
1451,contemplated_selfharm_in_past_year_f20486_0_0
1452,felt_hated_by_family_member_as_a_child_f20487_0_0
1453,physically_abused_by_family_as_a_child_f20488_0_0
1454,felt_loved_as_a_child_f20489_0_0
1455,sexually_molested_as_a_child_f20490_0_0
1456,someone_to_take_to_doctor_when_needed_as_a_child_f20491_0_0
1457,longest_period_of_mania_or_irritability_f20492_0_0
1458,severity_of_problems_due_to_mania_or_irritability_f20493_0_0
1459,felt_irritable_or_had_angry_outbursts_in_past_month_f20494_0_0
1460,avoided_activities_or_situations_because_of_previous_stressful_experience_in_past_month_f20495_0_0
1461,felt_distant_from_other_people_in_past_month_f20496_0_0
1462,repeated_disturbing_thoughts_of_stressful_experience_in_past_month_f20497_0_0
1463,felt_very_upset_when_reminded_of_stressful_experience_in_past_month_f20498_0_0
1464,ever_sought_or_received_professional_help_for_mental_distress_f20499_0_0
1465,ever_suffered_mental_distress_preventing_usual_activities_f20500_0_0
1466,ever_had_period_of_mania_excitability_f20501_0_0
1467,ever_had_period_extreme_irritability_f20502_0_0
1468,ever_addicted_to_prescription_or_overthecounter_medication_f20503_0_0
1469,ongoing_addiction_or_dependence_to_overthecounter_medication_f20504_0_0
1470,recent_easy_annoyance_or_irritability_f20505_0_0
1471,recent_feelings_or_nervousness_or_anxiety_f20506_0_0
1472,recent_feelings_of_inadequacy_f20507_0_0
1473,recent_trouble_concentrating_on_things_f20508_0_0
1474,recent_inability_to_stop_or_control_worrying_f20509_0_0
1475,recent_feelings_of_depression_f20510_0_0
1476,recent_poor_appetite_or_overeating_f20511_0_0
1477,recent_feelings_of_foreboding_f20512_0_0
1478,recent_thoughts_of_suicide_or_selfharm_f20513_0_0
1479,recent_lack_of_interest_or_pleasure_in_doing_things_f20514_0_0
1480,recent_trouble_relaxing_f20515_0_0
1481,recent_restlessness_f20516_0_0
1482,trouble_falling_or_staying_asleep_or_sleeping_too_much_f20517_0_0
1483,recent_changes_in_speedamount_of_moving_or_speaking_f20518_0_0
1484,recent_feelings_of_tiredness_or_low_energy_f20519_0_0
1485,recent_worrying_too_much_about_different_things_f20520_0_0
1486,belittlement_by_partner_or_expartner_as_an_adult_f20521_0_0
1487,been_in_a_confiding_relationship_as_an_adult_f20522_0_0
1488,physical_violence_by_partner_or_expartner_as_an_adult_f20523_0_0
1489,sexual_interference_by_partner_or_expartner_without_consent_as_an_adult_f20524_0_0
1490,able_to_pay_rentmortgage_as_an_adult_f20525_0_0
1491,been_in_serious_accident_believed_to_be_lifethreatening_f20526_0_0
1492,been_involved_in_combat_or_exposed_to_warzone_f20527_0_0
1493,diagnosed_with_lifethreatening_illness_f20528_0_0
1494,victim_of_physically_violent_crime_f20529_0_0
1495,witnessed_sudden_violent_death_f20530_0_0
1496,victim_of_sexual_assault_f20531_0_0
1497,did_your_sleep_change_f20532_0_0
1498,trouble_falling_asleep_f20533_0_0
1499,sleeping_too_much_f20534_0_0
1500,waking_too_early_f20535_0_0
1501,weight_change_during_worst_episode_of_depression_f20536_0_0
1502,frequency_of_difficulty_controlling_worry_during_worst_period_of_anxiety_f20537_0_0
1503,worried_most_days_during_period_of_worst_anxiety_f20538_0_0
1504,frequency_of_inability_to_stop_worrying_during_worst_period_of_anxiety_f20539_0_0
1505,multiple_worries_during_worst_period_of_anxiety_f20540_0_0
1506,difficulty_stopping_worrying_during_worst_period_of_anxiety_f20541_0_0
1507,stronger_worrying_than_other_people_during_period_of_worst_anxiety_f20542_0_0
1508,number_of_things_worried_about_during_worst_period_of_anxiety_f20543_0_0
1509,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_1
1510,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_2
1511,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_3
1512,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_4
1513,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_5
1514,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_6
1515,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_7
1516,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_8
1517,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_9
1518,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_10
1519,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_11
1520,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_12
1521,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_13
1522,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_14
1523,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_15
1524,mental_health_problems_ever_diagnosed_by_a_professional_f20544_0_16
1525,substances_taken_for_depression_f20546_0_1
1526,substances_taken_for_depression_f20546_0_2
1527,substances_taken_for_depression_f20546_0_3
1528,activities_undertaken_to_treat_depression_f20547_0_1
1529,activities_undertaken_to_treat_depression_f20547_0_2
1530,manifestations_of_mania_or_irritability_f20548_0_1
1531,manifestations_of_mania_or_irritability_f20548_0_2
1532,manifestations_of_mania_or_irritability_f20548_0_3
1533,manifestations_of_mania_or_irritability_f20548_0_4
1534,manifestations_of_mania_or_irritability_f20548_0_5
1535,manifestations_of_mania_or_irritability_f20548_0_6
1536,manifestations_of_mania_or_irritability_f20548_0_7
1537,manifestations_of_mania_or_irritability_f20548_0_8
1538,substances_taken_for_anxiety_f20549_0_1
1539,substances_taken_for_anxiety_f20549_0_2
1540,substances_taken_for_anxiety_f20549_0_3
1541,activities_undertaken_to_treat_anxiety_f20550_0_1
1542,activities_undertaken_to_treat_anxiety_f20550_0_2
1543,substance_of_prescription_or_overthecounter_medication_addiction_f20551_0_1
1544,substance_of_prescription_or_overthecounter_medication_addiction_f20551_0_2
1545,substance_of_prescription_or_overthecounter_medication_addiction_f20551_0_3
1546,behavioural_and_miscellaneous_addictions_f20552_0_1
1547,behavioural_and_miscellaneous_addictions_f20552_0_2
1548,methods_of_selfharm_used_f20553_0_1
1549,methods_of_selfharm_used_f20553_0_2
1550,methods_of_selfharm_used_f20553_0_3
1551,methods_of_selfharm_used_f20553_0_4
1552,methods_of_selfharm_used_f20553_0_5
1553,methods_of_selfharm_used_f20553_0_6
1554,actions_taken_following_selfharm_f20554_0_1
1555,actions_taken_following_selfharm_f20554_0_2
1556,actions_taken_following_selfharm_f20554_0_3
1557,actions_taken_following_selfharm_f20554_0_4
1558,actions_taken_following_selfharm_f20554_0_5
1559,ethnic_background_f21000_0_0
1560,ethnic_background_f21000_1_0
1561,ethnic_background_f21000_2_0
1562,age_when_attended_assessment_centre_f21003_0_0
1563,age_when_attended_assessment_centre_f21003_1_0
1564,age_when_attended_assessment_centre_f21003_2_0
1565,age_at_recruitment_f21022_0_0
1566,when_digestive_health_questionnaire_completed_f21023_0_0
1567,ever_diagnosed_with_ibs_f21024_0_0
1568,frequency_of_discomfortpain_in_abdomen_in_last_3_months_f21025_0_0
1569,discomfortpain_occurring_only_during_menstrual_bleed_f21026_0_0
1570,abdominal_discomfortpain_for_6_months_or_longer_f21027_0_0
1571,frequency_of_discomfortpain_getting_better_or_stopping_after_a_bowel_movement_f21028_0_0
1572,more_frequent_bowel_movements_when_abdominal_discomfortpain_started_f21029_0_0
1573,less_frequent_bowel_movements_when_abdominal_discomfortpain_started_f21030_0_0
1574,stools_looser_when_abdominal_discomfortpain_started_f21031_0_0
1575,frequency_of_harder_stools_when_abdominal_discomfortpain_started_f21032_0_0
1576,frequency_of_hardlumpy_stools_in_the_last_3_months_f21033_0_0
1577,frequency_of_loosemushywatery_stools_in_the_last_3_months_f21034_0_0
1578,currently_in_last_3_months_suffer_from_abdominal_pain_f21035_0_0
1579,severity_of_current_abdominal_pain_f21036_0_0
1580,number_of_days_out_of_10_with_abdominal_pain_f21037_0_0
1581,currently_suffer_from_abdominal_distension_f21038_0_0
1582,severity_of_current_abdominal_distensiontightness_f21039_0_0
1583,satisfaction_with_bowel_habits_f21040_0_0
1584,degree_to_which_abdominal_paindiscomfortaltered_bowel_habits_affectinterfere_with_life_in_general_f21041_0_0
1585,greatest_number_of_times_bowels_opened_per_day_f21042_0_0
1586,least_number_of_times_bowels_opened_per_week_f21043_0_0
1587,average_number_of_times_bowels_opened_per_day_f21044_0_0
1588,number_of_weeks_absent_from_work_due_to_ibs_in_the_last_year_f21045_0_0
1589,when_gave_up_work_due_to_ibs_f21046_0_0
1590,number_of_weeks_in_the_last_year_at_work_suffering_because_of_ibs_f21047_0_0
1591,degree_bothered_by_back_pain_in_the_past_3_months_f21048_0_0
1592,degree_bothered_by_pain_in_armslegsjoints_in_the_past_3_months_f21049_0_0
1593,degree_bothered_by_menstrual_cramps_or_other_problems_with_period_in_the_last_3_months_f21050_0_0
1594,degree_bothered_by_headaches_in_the_last_3_months_f21051_0_0
1595,degree_bothered_by_chest_pain_in_the_last_3_months_f21052_0_0
1596,degree_bothered_by_dizziness_in_the_last_3_months_f21053_0_0
1597,degree_bothered_by_fainting_spells_in_the_last_3_months_f21054_0_0
1598,degree_bothered_by_feeling_heart_poundrace_in_the_last_3_months_f21055_0_0
1599,degree_bothered_by_shortness_of_breath_in_the_last_3_months_f21056_0_0
1600,degree_bothered_by_painproblems_during_intercourse_in_the_last_3_months_f21057_0_0
1601,degree_bothered_by_urinary_frequencybladder_irritability_in_the_last_3_months_f21058_0_0
1602,degree_bothered_by_nausea_in_the_last_3_months_f21059_0_0
1603,degree_bothered_by_feeling_tired_all_the_time_in_the_last_3_months_f21060_0_0
1604,degree_bothered_by_trouble_sleeping_in_the_last_3_months_f21061_0_0
1605,ever_been_offeredsought_treatment_for_anxiety_f21062_0_0
1606,ever_been_offeredsought_treatment_for_depression_f21063_0_0
1607,sensitive_stomach_f21064_0_0
1608,family_history_of_ibs_f21065_0_0
1609,born_by_caesarian_section_f21066_0_0
1610,longtermrecurrent_antibiotics_as_child_or_teenager_f21067_0_0
1611,diagnosed_with_coeliac_disease_or_gluten_sensitivity_f21068_0_0
1612,method_of_coeliac_diseasegluten_sensitivity_diagnosis_f21069_0_0
1613,speed_of_onset_of_ibs_symptoms_f21070_0_0
1614,infectious_illness_diagnosis_status_when_ibs_symptoms_first_began_f21071_0_0
1615,infection_diagnosed_alongside_ibs_when_ibs_symptoms_began_f21072_0_0
1616,fever_when_ibs_symptoms_first_began_f21073_0_0
1617,diarrhoea_when_ibs_symptoms_first_began_f21074_0_0
1618,bloody_diarrhoea_when_ibs_symptoms_first_began_f21075_0_0
1619,vomiting_when_ibs_symptoms_first_began_f21076_0_0
1620,genotype_measurement_batch_f22000_0_0
1621,genetic_sex_f22001_0_0
1622,cel_files_f22002_0_0
1623,heterozygosity_f22003_0_0
1624,heterozygosity_pca_corrected_f22004_0_0
1625,missingness_f22005_0_0
1626,genetic_ethnic_grouping_f22006_0_0
1627,genotype_measurement_plate_f22007_0_0
1628,genotype_measurement_well_f22008_0_0
1629,genetic_principal_components_f22009_0_1
1630,genetic_principal_components_f22009_0_2
1631,genetic_principal_components_f22009_0_3
1632,genetic_principal_components_f22009_0_4
1633,genetic_principal_components_f22009_0_5
1634,genetic_principal_components_f22009_0_6
1635,genetic_principal_components_f22009_0_7
1636,genetic_principal_components_f22009_0_8
1637,genetic_principal_components_f22009_0_9
1638,genetic_principal_components_f22009_0_10
1639,genetic_principal_components_f22009_0_11
1640,genetic_principal_components_f22009_0_12
1641,genetic_principal_components_f22009_0_13
1642,genetic_principal_components_f22009_0_14
1643,genetic_principal_components_f22009_0_15
1644,genetic_principal_components_f22009_0_16
1645,genetic_principal_components_f22009_0_17
1646,genetic_principal_components_f22009_0_18
1647,genetic_principal_components_f22009_0_19
1648,genetic_principal_components_f22009_0_20
1649,genetic_principal_components_f22009_0_21
1650,genetic_principal_components_f22009_0_22
1651,genetic_principal_components_f22009_0_23
1652,genetic_principal_components_f22009_0_24
1653,genetic_principal_components_f22009_0_25
1654,genetic_principal_components_f22009_0_26
1655,genetic_principal_components_f22009_0_27
1656,genetic_principal_components_f22009_0_28
1657,genetic_principal_components_f22009_0_29
1658,genetic_principal_components_f22009_0_30
1659,genetic_principal_components_f22009_0_31
1660,genetic_principal_components_f22009_0_32
1661,genetic_principal_components_f22009_0_33
1662,genetic_principal_components_f22009_0_34
1663,genetic_principal_components_f22009_0_35
1664,genetic_principal_components_f22009_0_36
1665,genetic_principal_components_f22009_0_37
1666,genetic_principal_components_f22009_0_38
1667,genetic_principal_components_f22009_0_39
1668,genetic_principal_components_f22009_0_40
1669,sex_chromosome_aneuploidy_f22019_0_0
1670,used_in_genetic_principal_components_f22020_0_0
1671,genetic_kinship_to_other_participants_f22021_0_0
1672,sex_inference_x_probeintensity_f22022_0_0
1673,sex_inference_y_probeintensity_f22023_0_0
1674,dna_concentration_f22024_0_0
1675,affymetrix_quality_control_metric_clustercr_f22025_0_0
1676,affymetrix_quality_control_metric_dqc_f22026_0_0
